gamble_gain,gamble_lose,salary_estimate
FALSE,TRUE,29000
TRUE,TRUE,15000
FALSE,FALSE,25000
FALSE,TRUE,24000
FALSE,TRUE,30000
FALSE,FALSE,27000
FALSE,TRUE,15000
TRUE,FALSE,30000
FALSE,TRUE,25000
TRUE,FALSE,30000
FALSE,TRUE,29000
FALSE,TRUE,30000
FALSE,FALSE,30000
TRUE,TRUE,19000
FALSE,FALSE,28000
FALSE,FALSE,20000
FALSE,FALSE,20000
TRUE,TRUE,30000
FALSE,TRUE,30000
FALSE,TRUE,35000
TRUE,FALSE,28000
FALSE,FALSE,40000
TRUE,TRUE,30000
TRUE,TRUE,21000
TRUE,TRUE,30000
FALSE,TRUE,24000
FALSE,TRUE,40000
FALSE,FALSE,20000
TRUE,TRUE,16000
FALSE,FALSE,26000
TRUE,FALSE,25000
FALSE,FALSE,30000
FALSE,TRUE,25000
FALSE,FALSE,27000
TRUE,FALSE,28000
FALSE,TRUE,25000
FALSE,TRUE,30000
FALSE,FALSE,30000
FALSE,FALSE,50000
TRUE,TRUE,35000
FALSE,FALSE,23000
TRUE,TRUE,35000
TRUE,FALSE,27000
FALSE,FALSE,25000
FALSE,TRUE,30000
FALSE,FALSE,20000
TRUE,TRUE,35000
FALSE,TRUE,25000
TRUE,TRUE,30000
TRUE,FALSE,20000
FALSE,FALSE,30000
FALSE,FALSE,18000
FALSE,TRUE,18000
FALSE,TRUE,26000
FALSE,TRUE,30000
FALSE,TRUE,60000
FALSE,FALSE,15000
FALSE,TRUE,30000
FALSE,FALSE,23000
TRUE,TRUE,25000
FALSE,TRUE,30000
FALSE,TRUE,5000
TRUE,TRUE,25000
FALSE,FALSE,35000
FALSE,TRUE,40000
TRUE,TRUE,27000
FALSE,TRUE,27000
FALSE,TRUE,25000
FALSE,FALSE,28000
FALSE,FALSE,5000
TRUE,TRUE,40000
FALSE,TRUE,40000
FALSE,FALSE,30000
FALSE,TRUE,33000
TRUE,FALSE,28000
FALSE,TRUE,50000
TRUE,FALSE,28000
FALSE,TRUE,30000
FALSE,FALSE,28000
FALSE,FALSE,30000
FALSE,FALSE,40000
FALSE,FALSE,28000
TRUE,FALSE,35000
TRUE,TRUE,25000
FALSE,TRUE,25000
FALSE,FALSE,40000
FALSE,TRUE,5000
FALSE,FALSE,35000
FALSE,TRUE,30000
FALSE,TRUE,25000
TRUE,TRUE,24000
FALSE,TRUE,40000
FALSE,FALSE,35000
FALSE,FALSE,35000
FALSE,TRUE,25000
FALSE,TRUE,35000
FALSE,TRUE,20000
TRUE,TRUE,22500
FALSE,TRUE,35000
FALSE,FALSE,25000
FALSE,FALSE,25000
FALSE,FALSE,5000
FALSE,FALSE,35000
FALSE,FALSE,20000
TRUE,TRUE,5000
TRUE,FALSE,29000
TRUE,TRUE,5000
FALSE,TRUE,25000
FALSE,TRUE,22000
FALSE,FALSE,60000
FALSE,TRUE,35000
FALSE,FALSE,27000
FALSE,FALSE,30000
FALSE,TRUE,10000
TRUE,TRUE,28000
FALSE,FALSE,26000
FALSE,FALSE,30000
FALSE,TRUE,9600
FALSE,FALSE,25000
FALSE,TRUE,25000
FALSE,TRUE,30000
FALSE,TRUE,24000
TRUE,TRUE,30000
TRUE,TRUE,30000
FALSE,FALSE,28000
FALSE,FALSE,25000
FALSE,TRUE,33000
FALSE,TRUE,20000
FALSE,FALSE,28000
FALSE,FALSE,28000
TRUE,FALSE,30000
TRUE,TRUE,35000
FALSE,TRUE,25000
FALSE,TRUE,20000
FALSE,FALSE,30000
FALSE,TRUE,6000
FALSE,FALSE,30000
FALSE,FALSE,25000
TRUE,FALSE,40000
TRUE,FALSE,6000
TRUE,TRUE,10000
FALSE,FALSE,40000
TRUE,FALSE,30000
FALSE,FALSE,28000
FALSE,FALSE,40000
FALSE,FALSE,45000
FALSE,TRUE,21000
FALSE,FALSE,30000
FALSE,TRUE,25000
FALSE,TRUE,30000
TRUE,TRUE,27000
FALSE,FALSE,30000
FALSE,TRUE,30000
FALSE,TRUE,26500
FALSE,TRUE,40000
TRUE,TRUE,25000
FALSE,TRUE,21000
FALSE,FALSE,30000
TRUE,TRUE,20000
FALSE,TRUE,30000
FALSE,FALSE,30000
TRUE,TRUE,30000
FALSE,FALSE,21000
TRUE,TRUE,6000
FALSE,TRUE,30000
FALSE,TRUE,25000
FALSE,TRUE,30000
FALSE,FALSE,25000
FALSE,FALSE,50000
FALSE,FALSE,20000
FALSE,TRUE,18000
TRUE,TRUE,25000
FALSE,FALSE,30000
FALSE,TRUE,26000
FALSE,TRUE,29000
TRUE,FALSE,30000
FALSE,FALSE,30000
FALSE,FALSE,8000
TRUE,TRUE,18000
TRUE,TRUE,25000
FALSE,FALSE,20000
FALSE,FALSE,34000
FALSE,FALSE,25000
TRUE,FALSE,30000
FALSE,FALSE,29000
TRUE,FALSE,30000
FALSE,TRUE,25000
FALSE,FALSE,8000
TRUE,TRUE,25000
FALSE,TRUE,28000
FALSE,FALSE,25000
FALSE,FALSE,25000
FALSE,TRUE,25000
TRUE,TRUE,30000
FALSE,FALSE,40000
FALSE,TRUE,10000
FALSE,FALSE,40000
FALSE,FALSE,33000
FALSE,FALSE,30000
FALSE,FALSE,24000
FALSE,FALSE,27000
FALSE,FALSE,30000
FALSE,TRUE,25000
FALSE,TRUE,50000
